Instance,Income
111994,31383.87199
111995,15083.90313
111996,32221.48162
111997,133864.3094
111998,30560.46791
111999,90349.7034
112000,105764.0007
112001,63764.64603
112002,36306.83033
112003,120662.7762
112004,10588.74843
112005,192161.6962
112006,30373.82481
112007,108357.1131
112008,266140.1457
112009,79364.80332
112010,56946.47378
112011,38967.16094
112012,19966.70269
112013,18164.27281
112014,118274.5731
112015,44767.83103
112016,46990.58654
112017,24944.79927
112018,158405.3111
112019,61064.40252
112020,31768.00452
112021,27282.47547
112022,92415.89335
112023,61165.99573
112024,35237.41429
112025,85645.04319
112026,47595.0417
112027,71926.18613
112028,53367.98868
112029,50467.65795
112030,179721.0986
112031,233072.397
112032,257031.0948
112033,113951.2655
112034,218096.5789
112035,94782.41643
112036,193399.682
112037,163008.7271
112038,197589.0492
112039,53855.47332
112040,72697.13603
112041,62111.63456
112042,62865.54243
112043,54924.16211
112044,42916.51453
112045,18991.3031
112046,294233.2596
112047,31674.2803
112048,25624.74466
112049,97885.4428
112050,64069.24644
112051,75283.7811
112052,105256.3769
112053,208810.0742
112054,81374.15878
112055,28504.97955
112056,95877.05578
112057,23192.32508
112058,38241.01091
112059,34746.59875
112060,261297.9508
112061,145698.0671
112062,160543.1773
112063,68280.20061
112064,21486.89589
112065,49518.81324
112066,5781.12005
112067,106340.5769
112068,57040.45288
112069,258723.9188
112070,350114.6447
112071,43913.39689
112072,80462.35762
112073,36071.35709
112074,28030.48417
112075,26115.11752
112076,112098.6722
112077,900654.3672
112078,7107.486406
112079,174236.1902
112080,99653.78536
112081,803235.3754
112082,40057.80175
112083,34545.2896
112084,31584.46495
112085,49435.17202
112086,31392.54758
112087,65682.91549
112088,125020.8386
112089,66026.41585
112090,203079.8076
112091,42828.14511
112092,28925.9863
112093,75750.4251
112094,33958.07599
112095,75810.12728
112096,119302.539
112097,22955.79341
112098,33296.8426
112099,35284.78441
112100,56522.18181
112101,187894.653
112102,41516.71499
112103,157860.2419
112104,71414.24794
112105,54977.4291
112106,108352.7839
112107,125817.1944
112108,64629.86609
112109,30425.00864
112110,49227.46533
112111,31233.87115
112112,62462.57156
112113,70022.86182
112114,57885.93981
112115,16136.03719
112116,35367.86744
112117,82508.13103
112118,30705.23579
112119,30962.05598
112120,520806.8356
112121,109904.6311
112122,478452.818
112123,209809.7718
112124,32951.60819
112125,199646.5316
112126,159648.6512
112127,22899.3849
112128,45103.42304
112129,109734.3916
112130,78812.71896
112131,29079.31475
112132,70763.03026
112133,242750.1531
112134,20802.81888
112135,17886.99732
112136,81036.77001
112137,13402.46736
112138,33756.86483
112139,61679.58552
112140,43873.32639
112141,40022.18652
112142,89748.44801
112143,187849.1149
112144,29770.37627
112145,41703.08951
112146,44095.88188
112147,265200.8205
112148,47978.27153
112149,75177.22554
112150,8395.980832
112151,301223.7383
112152,84612.29884
112153,55350.70594
112154,36451.93396
112155,111177.4437
112156,70245.90663
112157,71235.70553
112158,35213.92901
112159,235098.8342
112160,53308.07892
112161,143718.4053
112162,113398.8498
112163,21488.02589
112164,37530.90659
112165,139261.6827
112166,44199.50505
112167,19462.62313
112168,77442.9787
112169,312204.5936
112170,239622.2612
112171,55978.29139
112172,20250.03772
112173,103089.8748
112174,33827.08062
112175,36987.07949
112176,28985.80025
112177,83793.38875
112178,20871.95684
112179,29746.07461
112180,35360.99998
112181,15603.97828
112182,223370.6973
112183,93389.42574
112184,24446.45297
112185,268706.8512
112186,11832.65056
112187,133837.27
112188,147125.0388
112189,46490.26691
112190,45479.63726
112191,100857.7434
112192,255868.5742
112193,32704.77811
112194,200771.0397
112195,36235.07491
112196,28946.92176
112197,244469.2416
112198,32290.59134
112199,42104.78667
112200,56531.46802
112201,266666.8633
112202,139916.9371
112203,38738.70542
112204,59320.70067
112205,6619.946108
112206,101739.4353
112207,306795.4782
112208,60061.11217
112209,389065.4119
112210,52829.75887
112211,230281.3953
112212,58663.35678
112213,22481.5212
112214,203051.2345
112215,59948.73672
112216,104143.5486
112217,37933.1844
112218,46526.40986
112219,359773.7378
112220,22143.8861
112221,6411.746537
112222,37137.54362
112223,46522.74089
112224,149536.1223
112225,30734.43237
112226,67750.0468
112227,59363.6457
112228,93750.79143
112229,67175.82876
112230,212431.2648
112231,16807.4998
112232,86866.82243
112233,23786.63351
112234,65206.00421
112235,24110.85686
112236,85925.98455
112237,365122.5044
112238,47459.44151
112239,24570.3425
112240,12968.1187
112241,26829.85795
112242,48333.11446
112243,65098.33647
112244,172238.4891
112245,90162.20929
112246,52811.5415
112247,411363.3589
112248,83665.12286
112249,15628.90649
112250,48595.09571
112251,50668.71046
112252,51883.67951
112253,28816.81048
112254,271847.3293
112255,48730.78166
112256,35076.40589
112257,34369.14707
112258,431458.9929
112259,192507.3096
112260,128419.6041
