Instance,Income
111994,32884.177099930836
111995,4732.784589412474
111996,28088.79706197066
111997,101098.05489165774
111998,24859.791385534358
111999,101109.7117734383
112000,108908.92834853058
112001,51730.86919606538
112002,35142.478892962004
112003,109279.30968033415
112004,-5436.480263145158
112005,184718.8797900207
112006,30459.12508948865
112007,119976.3659927582
112008,304042.52895805007
112009,79333.32875378456
112010,49239.679078570814
112011,21727.266900642662
112012,17861.35244184249
112013,18724.473437007407
112014,107821.68460901467
112015,52594.83882002179
112016,43839.945966301806
112017,17412.675848909974
112018,120410.30628753465
112019,58856.97572799857
112020,31813.61465734425
112021,19357.262884225456
112022,95415.5912945011
112023,62838.8981436059
112024,27143.544996338725
112025,80529.79185418846
112026,54289.061922903245
112027,69336.2050541962
112028,36291.021694243456
112029,34415.870652312275
112030,166983.77795209366
112031,217183.04203996083
112032,242062.0828413232
112033,103217.99006908288
112034,173250.94996074677
112035,108501.966423241
112036,212146.10180139638
112037,148137.44242113654
112038,209440.81729611394
112039,50450.06311724101
112040,72413.03524768757
112041,67483.10806396365
112042,44686.08405723265
112043,56049.043754640865
112044,76157.44826234378
112045,12724.770757837372
112046,340841.2104334901
112047,33475.699327589784
112048,27099.227729825743
112049,101680.42288399836
112050,44325.63261933603
112051,76292.89337584848
112052,115561.44048141141
112053,221605.8686811995
112054,67063.2237552068
112055,28908.33390257017
112056,95222.06879568423
112057,20512.515275275506
112058,51482.8320389952
112059,35592.79014143395
112060,281567.99880189734
112061,133839.9583041464
112062,200714.17491024281
112063,56660.54508508708
112064,13188.685277076029
112065,45367.42844022265
112066,5524.511596402243
112067,114177.58459789041
112068,57066.31673592285
112069,272232.87788375694
112070,373266.7963294745
112071,56549.653007625384
112072,79206.81595058297
112073,37446.65115067307
112074,15790.481806203448
112075,6893.989641606014
112076,122523.11525760194
112077,1012986.9243686654
112078,-3670.490289210346
112079,185739.24946066298
112080,64064.39888022661
112081,808281.8811777185
112082,37652.201387567686
112083,43820.73917576105
112084,24408.911273438996
112085,47914.31900212008
112086,31001.779726660476
112087,70331.33058421899
112088,122953.53811071582
112089,55773.943921060076
112090,199798.2308079086
112091,45817.45534307548
112092,32609.80039013747
112093,86511.44918180225
112094,35944.141235898365
112095,50590.99346573719
112096,66221.1996165187
112097,18571.540769692714
112098,28260.93759540624
112099,36085.23161608646
112100,51015.710800451736
112101,199583.9434807123
112102,32230.88082609094
112103,157115.55864937202
112104,61095.24860183017
112105,61163.65545802424
112106,112635.70827561618
112107,130882.90053093653
112108,54726.89435765513
112109,25983.80527877622
112110,51880.33384762652
112111,26493.17339125848
112112,63888.172273931414
112113,71504.28669390013
112114,67993.52466221142
112115,15892.007550968596
112116,37103.94610966138
112117,76394.99695061479
112118,22176.512244776084
112119,45308.457569553786
112120,542499.7142665873
112121,123375.59053887047
112122,533128.2809801339
112123,211688.7155551261
112124,36380.9555617969
112125,198300.94544284279
112126,172609.35805405103
112127,17207.625695619277
112128,41612.30111769643
112129,121664.57337806204
112130,80574.53164031071
112131,24988.954377383136
112132,77177.60728637196
112133,214703.80778015192
112134,23345.34338323969
112135,9789.861961882354
112136,62704.41505101004
112137,10320.396097671866
112138,24765.591762889453
112139,59996.79453763729
112140,41502.32614220833
112141,41942.05202815133
112142,83030.79340592369
112143,194780.55822654482
112144,30721.60106105927
112145,35238.960630260015
112146,47954.838480995815
112147,268964.61226033844
112148,53435.440939993896
112149,42426.084309283186
112150,1058.778662381311
112151,271448.84089522297
112152,81442.14509896735
112153,61584.065742850304
112154,47020.65747914302
112155,97092.86383499562
112156,88889.17903384767
112157,85458.57386189164
112158,40213.6318627265
112159,261117.85564081027
112160,57835.83199353284
112161,154610.7396409081
112162,82980.47028349979
112163,18156.985359098395
112164,40127.86745063683
112165,136318.0620624828
112166,53405.72051815736
112167,15168.38539892791
112168,56349.58847109054
112169,302858.73390471115
112170,221202.75754387004
112171,52383.63551878185
112172,23111.072201757346
112173,104112.70378649316
112174,36076.203523335804
112175,35386.45708950094
112176,30487.54821164426
112177,110615.08481875621
112178,12767.748552379264
112179,31115.243255962803
112180,33586.58557698109
112181,3597.847175335092
112182,223537.75908783803
112183,111985.0707376015
112184,22059.431580396486
112185,307536.0583385317
112186,9175.842908843031
112187,153695.789235764
112188,138700.4530611348
112189,38521.60301162787
112190,42353.309827205485
112191,99423.60894713155
112192,268833.89104383753
112193,28073.901835427238
112194,180666.41462657618
112195,42721.036130838605
112196,29025.942433388067
112197,256001.9437288938
112198,25849.280997232472
112199,38909.39795163026
112200,57047.83579029614
112201,274955.2976747954
112202,128767.5281695111
112203,38544.604887626636
112204,35600.454332554014
112205,11.833190493959185
